gene,FAD_mean,FAD_KO_mean,log2_fold_change,p_value,neg_log10_p
Copg2,4.049652614507349,3.7638888865022135,-0.2857637280051355,0.008567588347649202,2.0671414084973123
Fam110b,4.602317290863231,4.885226657192798,0.28290936632956765,0.008631341440033392,2.063921703157198
Rab10,6.795615628105789,6.9441980335566,0.14858240545081092,0.008673718932198987,2.0617946550685975
Larp1,5.60572635218064,5.814528267761273,0.20880191558063288,0.008705919156707721,2.0601853700247896
Pccb,4.041285382252087,4.328042129853197,0.2867567476011095,0.008751172337117273,2.0579337634992414
Acsl1,4.128856471024213,4.2998215055316065,0.1709650345073932,0.008768192983707363,2.0570899001419973
Narfl,2.4119995241235017,2.8898670884039372,0.47786756428043553,0.008798398564177596,2.0555963685352863
Utp18,2.9115196342793133,3.5456327770058595,0.6341131427265463,0.008869485954142931,2.0521015497002217
Med22,2.680796396816504,2.887503397050327,0.20670700023382294,0.008874108086660943,2.0518752858792633
Frat1,3.054279352886945,3.361989582239159,0.3077102293522138,0.00911974782373746,2.0400171704734986
Rnf166,3.2437005593467787,2.8381350655357647,-0.40556549381101403,0.009324410741304141,2.030378604011078
Vdac1,6.63850360429798,6.823796147076709,0.18529254277872909,0.009527106337472639,2.0210389873467145
Rgp1,2.745934421496996,3.214271605764439,0.4683371842674431,0.00955313575514186,2.0198540506547387
Ndufa1,6.282589028557638,6.523976983677933,0.24138795512029532,0.00955594659392849,2.0197262860911604
Prrc2c,5.868540563209899,5.649200970927889,-0.21933959228200983,0.009642251204800415,2.015821558246342
Nxt2,3.943010357401519,4.146029975873209,0.20301961847169014,0.009729966483633425,2.011888655723234
Ranbp9,4.028937281925713,4.27244272955704,0.24350544763132742,0.009795348808769729,2.0089800943270575
Rps13,6.447426760222554,6.642004818024681,0.19457805780212656,0.009806163873766227,2.008500853402942
Uso1,5.0343626237209795,5.295996646742672,0.26163402302169203,0.009903345992948768,2.004218047749629
Polr2g,4.0218891762622375,4.319821881429799,0.2979327051675611,0.009912877513972776,2.0038002600412232
Exoc5,5.306757363081496,5.479380686994074,0.17262332391257829,0.010206664391014185,1.9911161651866258
Tmem181c-ps,1.8140069993473016,2.4194387387440517,0.6054317393967501,0.010492518059276717,1.979120274626601
1600012H06Rik,2.5257032273818787,2.895489665556468,0.36978643817458945,0.010512275021649208,1.97830328564367
Ccdc55,3.8391198513425526,4.048715673848856,0.2095958225063037,0.010682954270355309,1.9713086306508143
Snx19,3.6270109877995993,3.907341107368424,0.2803301195688248,0.010726623718940701,1.9695369538004432
Usp9x,3.1821375688129856,2.5228278995861424,-0.6593096692268432,0.010807414161607163,1.9662782051848626
Rbbp7,5.716119609048033,5.948142853030212,0.23202324398217833,0.010973070562960228,1.9596718280356975
Mapk8ip3,4.648545189008453,4.792290795013591,0.14374560600513853,0.010984693581370752,1.9592120532428698
Uvrag,3.0881141737897964,3.3869739127099905,0.29885973892019413,0.01117132925253968,1.9518951480395743
Rtca,3.843349631242552,4.160065835545844,0.3167162043032925,0.011226371056288098,1.9497606074900127
Dhps,2.499390510984165,2.8093348466720633,0.30994433568789814,0.01144864577883292,1.9412458814955131
Lhx6,1.7581008894197858,2.0413645839674945,0.2832636945477087,0.011478263184074126,1.940123821575406
Arfgef3,4.643744738671838,4.923087277327171,0.27934253865533254,0.011527513378963893,1.9382643650611187
Glo1,4.564862963125342,4.675065664595938,0.11020270147059641,0.01157728134191952,1.9363934127002564
Eif2a,2.8760992923982456,3.3531554297987647,0.4770561374005191,0.011719047688131059,1.9311076784709635
Mnat1,4.3162360202509324,4.46000172761085,0.14376570735991745,0.011831763676428696,1.92695051337289
P3h4,2.9206208021639326,3.1666275584923693,0.24600675632843672,0.011954651127182362,1.9224630933876357
Pdzd8,4.045092075016369,4.230444406444563,0.18535233142819418,0.012082849819160716,1.9178306224392865
Cds2,6.210320762815616,6.493601709344674,0.28328094652905733,0.01233556834995836,1.9088408359947269
Fam65a,4.338133589744423,4.625944184696934,0.2878105949525107,0.01236386894019483,1.9078456072039978
Cox5b,5.326803384675915,5.568247525677101,0.24144414100118627,0.01240072425855809,1.9065529493289144
Adprh,4.848506988079605,5.1450773587327845,0.29657037065317926,0.012505868137211397,1.902886154864
Ftl1,3.8568636880777647,3.7017364801093575,-0.15512720796840718,0.012638535251565566,1.8983032558814368
